date,headline,abstract,document_type,type_of_material,news_desk,section_name,subjects
7/29/1866,FOREIGN MISCELLANY.; A Story of the War. The Cure of Blindness. The Empress Eugenia in the Cholera Hospitals. A Reminiscence of Irish Agitation.. An Eecentric King. The Pike. TWENTY-FOUR YEARS IN PRISON FOR COSTS. CASTLE NACHOD. NEW MUSKET FOR THE FRENCH ARMY. CURIOUS MATRIMONIAL COMPLICATIONS. EARL RUSSELL'S PEERAGES. EXECUTION OF AN ELEPHANT. THE ABYSSINIAN CAPTIVES. A CANDID BRIDE.,"Royal Family, Curious Matrimonial Complications",article,Archives,None,Archives,"['France', 'Great Britain', 'FOREIGN', 'MISCELLANEOUS', 'Blindness', 'FOREIGN', 'FOREIGN', 'FOREIGN']"
8/26/1868,Removal of Disabilities.,Removal of Disabilities by Legislature,article,Archives,None,Archives,['Disabilities']
12/2/1868,Removal of Disabilities--Hopeful Indications.,Removal; Hopeful Indications,article,Archives,None,Archives,"['Editorials', 'Disabilities']"
2/18/1869,More Tinkering with Disabilities.,"Disabilities, Dealings with",article,Archives,None,Archives,"['Editorials', 'Disabilities']"
9/3/1869,"REMOVAL OF DISABILITIES.; A Liberal Policy Urged--Address to the Republicans of Ohio County, West Virginia.",Address to Ohio Oounty Republicans on Disabilities,article,Archives,None,Archives,"['West Virginia', 'Disabilities']"
3/15/1871,HOUSE OF REPRESENTATIVES:; BILLS PASSED. RESOLUTIONS. REVENUE REFORM. REMOVAL OF DISABILITIES.,Mr. Beck's Bill,article,Archives,None,Archives,['Disabilities']
3/18/1872,FORTY-SECOND CONGRESS.; FIRST SESSION. SENATOR VANCE'S DISABILITIES. THE PACIFIC RAILROAD. REMOVAL OF POLITICAL DISABILITIES. SOUTHERN OUTRAGES. RETRENCHMENT. REPORTS OF COMMITTEES. THE NEW SENATOR. BILLS INTRODUCED. APPROPRIATIONS. SOUTHERN LEGISLATION.,"Anthony's, Mr., Resolution",article,Archives,None,Archives,['Disabilities']
2/6/1872,HOUSE OF REPRESENTATIVES.,Mr. Peters' Amendment,article,Archives,None,Archives,"['CONGRESS', 'HOUSE', 'CONGRESS', 'HOUSE', 'Disabilities', 'CONSTITUTION']"
3/6/1872,"MILLER IN TROUBLE.; The Legislative Committee Hear Further Evidence Yesterday. The Albany Printing Job Miller's Twenty per Cent. That Life Bill Senator Pierce's $5,000 Check and the Knickerbocker Company's $3,000 Contribution. THE ALBANY PRINTING JOBS. TWENTY-FIVE PER CENT ON PRINTING. MR. MILLER'S RIGID CROSS-EXAMINATION. THE MILLER LIFE BILL. SENATOR PIERCE'S $5,000 CHECK.",Mr. Speer's Bill,article,Archives,None,Archives,"['France', 'Senate', 'Senate', 'CONGRESS', 'HOUSE', 'Insurance', 'Disabilities']"
10/4/1874,BLINDNESS.; SOME CURIOUS FACTS AND STATISTICS OF THAT DISEASE.,Some Curious Facts and Statistics of that Disease,article,Archives,None,Archives,['Blindness']
3/25/1877,COLOR-BLINDNESS.,Chambers's Journal,article,Archives,None,Archives,['Color Blindness']
3/24/1878,COLOR BLINDNESS.; EXAMINATIONS OF THE EYES HARVARD COLLEGE STUDENTS TO BE MADE.,Harvard College Examinations,article,Archives,None,Archives,['Color Blindness']
1/22/1879,Editorial Article 11 -- No Title,Deafness,article,Archives,None,Archives,['Deafness']
1/26/1879,COLOR-BLINDNESS.; HOW IT ENDANGERS RAILROAD TRAVELERS--SOME INTERESTING EXPERIMENTS BEFORE A MASSACHUSETTS LEGISLATIVECOMMITTEE.,Jeffries's Experiments on Color Blindness,article,Archives,None,Archives,['Color Blindness']
3/30/1879,THE BLIND MARE AND HER FOAL.,"Blindness, Insurance Against",article,Archives,None,Archives,['Blindness']
5/13/1879,GLEANINGS FROM THE MAILS; DEAF AS A POST. DISADVANTAGES AND COMPENSATIONS OF DULL HEARING.,"Deafness, Saturday Review on",article,Archives,None,Archives,['Deafness']
8/17/1879,COLOR-BLIND RAILROAD MEN.; A LARGE PERCENTAGE OF DEFECTIVE VISION IN THE EMPLOYES OF A MASSACHUSETTS ROAD.,Boston and Lowell; Color Blindness of Employes,article,Archives,None,Archives,['Color Blindness']
9/3/1879,COLOR-BLINDNESS.,"Jeffries, Dr., on Color-blindness",article,Archives,None,Archives,['Color Blindness']
9/8/1879,COLOR-BLINDNESS.,Case of Cure,article,Archives,None,Archives,['Color Blindness']
10/20/1879,Editorial Article 8 -- No Title,Dr. Spaulding on,article,Archives,None,Archives,['Color Blindness']
11/5/1879,Editorial Article 7 -- No Title,Dr. Jeffries on,article,Archives,None,Archives,['Color Blindness']
11/30/1879,COLOR-BLINDNESS.,"TIMES'S Sketch on Causes, Effects, Detection, &c.",article,Archives,None,Archives,['Color Blindness']
3/13/1881,COLOR BLINDNESS IN CONNECTICUT.,Connecticut Law,article,Archives,None,Archives,"['Connecticut', 'Color Blindness']"
4/9/1881,AN INCIDENT OF THE BLOCKADE.,An incident of the Blockade,article,Archives,None,Archives,['Color Blindness']
6/1/1881,"COLOR-BLINDNESS.; RESULTS OF THE EXAMINATION OF 18,000 PERSONS IN ENGLAND--DEFECTIVE VISION OF JEWS AND QUAKERS.",(English) Ophthalmological Society's Statistics,article,Archives,None,Archives,['Color Blindness']
6/10/1881,DANGER FROM COLOR-BLINDNESS.,City of Austin's Pilot,article,Archives,None,Archives,['Color Blindness']
